"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"6110","AMAT_Milan_feed","151","Sesto S.G. - Lotto (nM1)","","3","","",""
"6111","AMAT_Milan_feed","151","Sesto S.G. - Cadorna (nM1)","","3","","",""
"6113","AMAT_Milan_feed","151","Sesto S.G. - Baracchini (nM1)","","3","","",""
"6117","AMAT_Milan_feed","152","Cascina Gobba  - Cadorna (nM2)","","3","","",""
"6122","AMAT_Milan_feed","152","Cadorna - Cascina Gobba  (nM2)","","3","","",""
"6123","AMAT_Milan_feed","153","S.Donato  - Comasina  (nM3)","","3","","",""
"6124","AMAT_Milan_feed","153","Corvetto  - Comasina  (nM3)","","3","","",""
"6127","AMAT_Milan_feed","153","P.ta Romana - S.Donato  (nM3)","","3","","",""
"6130","AMAT_Milan_feed","153","Comasina - S.Donato","","3","","",""
"6131","AMAT_Milan_feed","152","Cascina Gobba - Abbiategrasso","","3","","",""
"6132","AMAT_Milan_feed","152","Stz Centrale - Abbiategrasso (nm2)","","3","","",""
"6137","AMAT_Milan_feed","152","Abbiategrasso - Cascina Gobba nm2","","3","","",""
"6138","AMAT_Milan_feed","152","Abbiategrasso - Stz Centrale (nm2)","","3","","",""
"6141","AMAT_Milan_feed","45","Cadore - S. Donato M3","","3","","",""
"6142","AMAT_Milan_feed","166","Milano (Zara M3) - Desio","","3","","",""
"6145","AMAT_Milan_feed","166","Milano (Parco Nord) - Desio","","3","","",""
"6148","AMAT_Milan_feed","166","Desio - Milano (Parco Nord)","","3","","",""
"6150","AMAT_Milan_feed","1","Cacc. delle Alpi - Greco","","0","","",""
"6152","AMAT_Milan_feed","37","6 Febbraio - Repubblica","","3","","",""
"6159","AMAT_Milan_feed","166","Desio - Milano (Zara M3)","","3","","",""
"6162","AMAT_Milan_feed","64","Corsico - Q.to Romano","","3","","",""
"6164","AMAT_Milan_feed","64","Corsico - Lorenteggio/Odazio (lic. per deposito)","","3","","",""
"6165","AMAT_Milan_feed","64","Corsico - Primaticcio (Limitazioni notturne)","","3","","",""
"6166","AMAT_Milan_feed","64","Corsico - Q.to Romano (trans. Baggio)","","3","","",""
"6167","AMAT_Milan_feed","64","Primaticcio/Brasilia - Q.to Romano(trans. baggio)","","3","","",""
"6169","AMAT_Milan_feed","64","Q.to Romano - Corsico","","3","","",""
"6172","AMAT_Milan_feed","64","Primaticcio/Leg. Romane - Corsico","","3","","",""
"6173","AMAT_Milan_feed","64","Lorentaggio/Odazio - Corsico","","3","","",""
